"","Date","Country","City","Killed","Injured","Description"
"58",2002-02-15,"India","Kashmir",3,0,"Three civilians are murdered by terrorists in separate attacks (Gowran, Markpora Sumbal and woman at Darhal)."
"59",2002-02-16,"India","Narala",8,7,"In a horrible attack, Lashkar-e-Toiba terrorists massacre eight members of two families, including two women and four children."
"60",2002-02-16,"Israel","Karnei Shomron",3,30,"Three teen-agers are blown apart by a Muslim suicide bomber at a pizzeria. Thirty others injured."
"61",2002-02-18,"Israel","Gush Katif",3,1,"Three Israelis are killed in a Palestinian shooting attack."
"62",2002-02-19,"India","Gool",2,0,"Two people, including a civilian, are killed in an IED attack by the Mujahideen."
"63",2002-02-19,"India","Kishtwar",1,16,"A civilian is killed, and sixteen others injured in a grenade attack by Muslim terrorists."
"64",2002-02-19,"Israel","Ramallah",6,1,"Six soldiers are killed when terrorists open fire at a roadblock."
"65",2002-02-22,"Israel","Jerusalem",1,0,"A 59-year-old man is murdered by a Palestinian terrorist while driving home from work."
"66",2002-02-22,"Pakistan","Karachi",1,0,"Jewish journalist Daniel Pearl is kidnapped, held for several weeks, then killed by five Islamics. Videotape shows throat being cut."
"67",2002-02-22,"India","Aragam",2,2,"The Mujahideen attack four civilians, killing two of them."
"68",2002-02-23,"India","Wagbal",1,1,"A man is murdered by the Mujahideen, who also seriously injure his sister."
"69",2002-02-24,"Nigeria","Gombi",1,0,"A young Christian woman is kidnapped by four Muslim men, who slit her throat and leave her to die."
"70",2002-02-24,"Morocco","Casablanca",1,0,"An 'impious' Muslim is stoned to death."
"71",2002-02-25,"Israel","Neve Ya'akov",1,2,"One killed and two injured by a Palestinian terrorist while waiting for a bus."
"72",2002-02-25,"Israel","Tekoa",2,1,"An Islamic terrorist kills two Jews and injures one other in a shooting attack."
"73",2002-02-26,"India","Gujarat",59,38,"In a horrific and senseless attack, a group of militant Muslims set fire to a train carrying Hindu pilgrims. Fifty-nine innocents are burned to death, including fifteen children."
"74",2002-02-26,"India","Kashmir",2,1,"Two civilians are killed in separate attacks by the Mujahideen (Moila, Newatta)."
"75",2002-02-26,"Pakistan","Rawalpindi",10,21,"Ten Shias are slaughtered, as Sunnis open up with automatic weapons at point-blank range at a mosque.  At least twenty others are injured."
"76",2002-02-27,"Nigeria","Ilorin",3,0,"Eid-el-Kabir celebrants kill three Christians."
"77",2002-02-27,"India","Tangwari",1,1,"The Mujahideen pull a man from a passenger bus and execute him by the roadside."
"78",2002-02-28,"Israel","Atarot",1,0,"Jewish employer killed by a Muslim employee. Fatah takes credit for this attack."
"79",2002-02-28,"Pakistan","Karachi",2,11,"Islamists ambush a prisoner transport, killing a guard and a prisoner."
"80",2002-02-28,"India","Udhampur",2,0,"Separate attacks by the Mujahideen leave a police officer and a civilian dead."
"81",2002-03-02,"India","Roshli",2,0,"A man and wife are abducted from their home and killed by Muslim terrorists."
"82",2002-03-02,"Israel","Jerusalem",10,52,"Ten people, mostly women and small children were killed by a suicide bomber. Most were waiting with baby carriages for their husbands to return from the synagogue."
"83",2002-03-02,"Israel","Mar Saba",1,0,"Jerusalem police detective assassinated by Tanzim while on holiday in the desert."
"84",2002-03-03,"Israel","Kissufim",1,4,"Soldier killed at a roadblock by Palestinian gunman. Four others injured."
"85",2002-03-03,"Israel","Ofra",10,6,"Hamas terrorist kills ten and wounds six by opening fire at a roadblock."
"86",2002-03-03,"India","Kashmir",2,0,"Two civilians are killed in separate terror attacks (Handwara, Yaripora)."
"87",2002-03-04,"India","Morha Pathana",4,0,"The Mujahideen abduct and massacre four civilians in a brutal attack."
"88",2002-03-04,"Pakistan","Khyaban-e-Hafiz",1,0,"A doctor is killed by two gunmen in a sectarian attack."
"89",2002-03-05,"Israel","Afula",1,17,"85-year-old man is killed in a Fedayeen suicide bombing at a bus station."
"90",2002-03-05,"Israel","Bethlehem",1,1,"A female motorist gunned down by a Palestinian sniper. Her husband is badly injured."
"91",2002-03-05,"Israel","Tel Aviv",3,30,"Three Israelis are killed and more than thirty injured when two Muslim gunmen open fire at adjacent restaurants."
"92",2002-03-06,"Israel","Khan Yunis",2,0,"Two Israeli soldiers are killed in a Palestinian ambush."
"93",2002-03-07,"Nigeria","Enugu",12,0,"Muslim gunmen storm a Christian prayer meeting attempting to kill the leader. Twelve are killed, an unknown number injured."
"94",2002-03-07,"Pakistan","Lyari",1,0,"Another physician is killed in a sectarian attack on his car."
"95",2002-03-07,"India","Kashmir",3,0,"In separate attacks (Watnar, Mendhar, Androon) three civilians are killed after being taken captive."
"96",2002-03-07,"Israel","Gush Katif",5,23,"Five Israeli teen-agers are killed and twenty-three are injured by a Palestinian sniper in a heinous shooting."
"97",2002-03-08,"Algeria","al-Bleida",6,0,"Islamic attackers open fire on a civilian vehicle then set the car on fire, killing a half-dozen people."
"98",2002-03-08,"Israel","Tulkarm",1,0,"An Israelis soldier is killed by a Palestinian sniper."
"99",2002-03-08,"Pakistan","Multan",1,0,"A retired Shia banker is killed by radical Sunnis in his shop."
"100",2002-03-09,"Pakistan","New Karachi",1,1,"A doctor is gunned down by Sunnis on motorcycles, who also injure a patient."
"101",2002-03-09,"Israel","Jerusalem",11,54,"A Hamas (Islamic Resistance) suicide bomber kills eleven and injures 54 at a crowded cafe."
"102",2002-03-09,"Israel","Netanya",2,50,"The Fatah Al-Aqsa Brigades takes credit for killing a 9-month-old infant and one other in grenade attack that also left 50 others injured."
"103",2002-03-10,"Pakistan","Akora Khattak",2,20,"Bomb rocks a local exhibition, killing at least two."
"104",2002-03-10,"India","Chak Seri",1,1,"The Mujahideen abduct two civilians, later executing one of them.  Fate of the other is unknown."
"105",2002-03-11,"Pakistan","Muzaffargarh",4,0,"Four people are killed in sectarian violence between Shias and Sunnis."
"106",2002-03-12,"Israel","Metzuba",6,7,"Gunmen disguised in IDF uniforms ambush a bus and kill six, wound seven."
"107",2002-03-12,"Pakistan","Karimabad",1,0,"A Shia doctor is gunned down outside his clinic."
"108",2002-03-12,"India","Kashmir",4,0,"Four civilians are abducted and murdered by the Mujahideen in separate attacks."
"109",2002-03-13,"India","Morha Kuthyani",2,0,"A civilian and his son are shot to death by radical Muslims."
"110",2002-03-13,"India","Nowshera",2,0,"Islamic rebels rape a Hindu woman before killing her and her son.  The bodies are left in the forest."
"111",2002-03-14,"Israel","Gaza",3,2,"Terrorists detonate a bomb by remote control that kills three Israelis and injures two."
"112",2002-03-16,"Pakistan","Jhang",5,0,"Five policemen are gunned down by Islamists."
"113",2002-03-17,"Pakistan","Islamabad",5,45,"Grenade attack on a Christian church kills five worshippers including American woman and her 17-year-old daughter. Forty-five others were injured."
"114",2002-03-17,"Israel","Kfar Saba",1,16,"A Palestinian terrorist opens fire on motorists, taking the life of a teenager and injuring sixteen others."
"115",2002-03-18,"Pakistan","Quetta",1,0,"A party activist is killed in a sectarian attack."
"116",2002-03-19,"Algeria","Algiers",0,13,"Thirteen injured by home-made bomb at the post office set by Islamic fundamentalists."
"117",2002-03-19,"Algeria","Souq al-Had",4,0,"Four farmers are ambushed and killed by armed Islamic fundamentalists."
"118",2002-03-19,"Algeria","Souq al-Had",6,0,"Islamic fundamentalists kill six victims, all from the same family. The father and mother were beheaded - the four children mutilated."
"119",2002-03-19,"USA","Tuscon, AZ",1,0,"A 60-year-old man is gunned down by Muslim snipers on a golf course."
"120",2002-03-19,"Pakistan","Lahore",3,0,"Three people, including a professor, are killed in two sectarian attacks."
"121",2002-03-19,"India","Plangar",1,0,"Militant Muslims hang a young girl."
"122",2002-03-20,"India","Dogripora",2,5,"Two children are killed by a Mujahideen IED blast."
"123",2002-03-20,"Israel","Musmus",7,30,"Seven passengers are killed when a Fedayeen suicide bomber blows up a passenger bus.  Thirty others are injured in the blast."
"124",2002-03-21,"Israel","Jerusalem",3,86,"Suicide bomber kills three and injures eighty-six when detonating in a crowd of shoppers."
"125",2002-03-21,"Pakistan","Karachi",1,0,"The Shia owner of a video shop is gunned down by militant Sunnis."
"126",2002-03-21,"India","Damhal Hanjipora",0,14,"Fourteen people are injured when a Muslim radical throws a grenade at a bus stop."
"127",2002-03-22,"India","Shopian",0,35,"Thirty-five people sustain injury when a Fedayeen hurls a grenade into a crowded market."
"128",2002-03-23,"India","Srinagar",2,20,"A woman is among two people killed by Lashkar-e-Toiba in a grenade attack."
"129",2002-03-24,"Israel","Ramallah",1,0,"A woman is killed by a Palestinian sniper while riding on a bus."
"130",2002-03-24,"India","Kashmir",6,2,"Lashkar-e-Toiba terrorists are thought responsible for three attacks that leave six security force members dead."
"131",2002-03-25,"India","Malanu",1,0,"A man is abducted and tortured to death by the Mujahideen."
"132",2002-03-27,"Israel","Netanya",29,133,"Hamas (Islamic Resistance) bomber kills twenty-nine Jews celebrating Passover in a hotel. One-hundred and thirty-seven others are injured in the attack."
"133",2002-03-28,"Israel","Elon Moreh",4,0,"A 20-year-old man, his two middle-aged parents and his grandfather were killed during a home invasion by a Muslim gunman."
"134",2002-03-29,"Israel","Jerusalem",4,28,"Two security guards are killed and twenty-eight people injured by a suicide bomber. Two soldiers were also killed by Palestinians in Ramallah."
"135",2002-03-29,"Israel","Neztarim",2,0,"Two elderly Jews are killed by a Palestinian terrorist.  Two Palestinian groups claim credit."
"136",2002-03-29,"India","Rajouri",2,0,"The Mujahideen burn houses and kill two civilians."
"137",2002-03-29,"India","Kalakote",2,1,"A Fedayeen attack kills two border guards."
"138",2002-03-30,"India","Jammu",7,20,"A Fedayeen attack on a Hindu temple kills seven people, including a female pilgrim."
"139",2002-03-30,"Israel","Tel Aviv",1,30,"A 36-year-old woman is murdered, and thirty others wounded by a suicide bomber in a cafe."
"140",2002-03-31,"Israel","Haifa",15,40,"Fifteen Israelis are killed in a restaurant by a Fedayeen suicide bomber. Over forty others are burned and maimed in the explosion."
"141",2002-03-31,"Pakistan","Bahawalpur",2,0,"A mosque caretaker and his son are killed in a sectarian attack."
"142",2002-03-31,"India","Azmatabad",1,0,"A man is killed inside his home merely for being the brother of a police officer."
"143",2002-04-01,"Pakistan","Spin Qaira",2,12,"Bomb explodes on a passenger bus, killing at least two people."
"144",2002-04-01,"India","Bowan-Watsar",1,1,"Islamic terrorists kill a teacher inside his home in an attack that also injures his young son."
"145",2002-04-02,"India","Tabaloo-Sung",2,0,"Two policemen are killed in a village ambush by the Mujahideen."
"146",2002-04-03,"India","Chanchora",2,1,"Terrorists attack the house of a civilian, killing his son.  Elsewhere (Handwara) a man is abducted and murdered."
"147",2002-04-04,"India","Lopra",1,0,"A public works employee is murdered outside his residence."
"148",2002-04-04,"India","Baramulla",4,0,"In a brutal attack, Tehreek-e-Jehad-e-Islami members enter the house of a civilian and shoot him to death, along with his wife, daughter and another girl."
"149",2002-04-04,"Indonesia","Ambon",5,57,"An Islamist throws a bomb into a Christian center, killing five and injuring fifty-seven other innocents."
"150",2002-04-06,"Israel","Rafiah Yam",1,5,"Palestinian gunman opens fire at the entrance to a settlement. One is killed, five are wounded."
"151",2002-04-08,"Afghanistan","Jalalabad",9,92,"A terrorist bomb explodes near a government convoy. Nine are killed, ninety-two are injured."
"152",2002-04-08,"India","Dandli Dansal",8,6,"A horrific assault by Hizbul Mujahideen on a village leaves seven persons, including three children and two women dead.  Another child subsequently dies of injuries."
"153",2002-04-09,"India","Kulgam",2,0,"Two brothers are abducted and murdered by Lashkar-e-Toiba."
"154",2002-04-09,"India","Kokernag",2,11,"A grenade attack by militant Muslims leaves two civilians dead and eleven others, including three girls, critically injured."
"155",2002-04-09,"Israel","Jenin",13,7,"Thirteen IDF reservists are killed and seven injured by the combined efforts of a very young Palestinian suicide bomber and supporting gunfire."
"156",2002-04-10,"Israel","Yagur",8,22,"Eight people are killed by a Muslim bomber while riding on a bus. Twenty-two others are injured in the attack."
"157",2002-04-11,"Tunisia","Erriadh",21,18,"Islamic suicide bomber kills twenty-one in an attack on town's oldest synagogue. Youngest fatality is an 11-year-old German boy."
