"","Date","Country","City","Killed","Injured","Description"
"5393",2006-09-21,"India","Damhal Hanjipora",1,0,"A 20-year-old man is kidnapped from his home and murdered by the Mujahideen."
"5394",2006-09-21,"Iraq","Mosul",2,0,"Two sisters are brutally murdered by the Mujahideen."
"5395",2006-09-22,"Lebanon","Ein Al Hulwa",1,0,"al-Ansar terrorists open fire, killing a Palestinian man."
"5396",2006-09-22,"Iraq","Baghdad",13,0,"Three women are among thirteen people tortured and executed by Muslim terrorists.  At least one was beheaded."
"5397",2006-09-22,"Pakistan","North Waziristan",1,0,"A man is kidnapped and executed by the local Taliban."
"5398",2006-09-22,"Afghanistan","Kandahar",19,3,"Nineteen innocent laborers are massacred by religious extremists who bomb their bus then shoot the survivors."
"5399",2006-09-22,"Pakistan","Sargodha",1,0,"An 85-year-old Shia cleric is gunned down by radical Sunnis."
"5400",2006-09-22,"Afghanistan","Jalalabad",1,0,"The Taliban kill a Pakistani truck driver during an attack on oil tankers."
"5401",2006-09-23,"Pakistan","Dera Ghazi Khan",2,14,"A 14-year-old boy is one of two people killed when radicals explode a bomb at a cattle market."
"5402",2006-09-23,"India","Kangan",1,0,"Islamic terrorists murder a civilian."
"5403",2006-09-23,"Bangladesh","Dhaka",1,0,"A university professor is gunned down in his home."
"5404",2006-09-23,"Iraq","Baghdad",17,0,"Radical Shias rampage through Sunni neighborhoods, leaving a trail of over a dozen bodies."
"5405",2006-09-23,"Iraq","Baghdad",37,40,"'Soldiers of the Prophet's Companions' stage a massive car bomb in a Shia neighborhood that kills over three-dozen innocents - mostly women and children."
"5406",2006-09-24,"India","Sopore",1,2,"Muslim militants toss a grenade at a security patrol, killing one of the members."
"5407",2006-09-24,"Iraq","Tal Afar",2,3,"A suicide bomber rams a police checkpoint, killing two and wound three, including bystanders."
"5408",2006-09-24,"Iraq","Fallujah",12,0,"Jihadis kidnap and torture to death ten people.  A father and son are killed in their home."
"5409",2006-09-24,"Iraq","Baghdad",6,18,"Two Jihadi bombings kill six and injure at least eighteen."
"5410",2006-09-24,"Iraq","Kirkuk",4,0,"Four young men are murdered by militant Muslims"
"5411",2006-09-24,"India","Surenda",1,0,"An 18-year-old woman is murdered by the Hizb-ul-Mujahideen after she refuses to marry a member."
"5412",2006-09-24,"Iraq","Baghdad",2,17,"Radical Muslims place bombs outside a Christian cathedral, intending to kill worshippers.  Two people, including a child, are killed."
"5413",2006-09-25,"Thailand","Narathiwat",1,0,"A 45-year-old civilian is lured out of his home by Muslim radicals, then cut down with an assault-weapon."
"5414",2006-09-25,"Thailand","Yala",2,1,"A heavily-armed band of Muslim militants assault a small town, killing two civilians, including a woman."
"5415",2006-09-25,"India","Srinagar",1,6,"A policewoman is killed when Muslim militants throw a grenade at her.  A 9-year-old girl is among the injured."
"5416",2006-09-25,"India","Sanglan",1,0,"A 23-year-old civilian is kidnapped and murdered by the Mujahideen."
"5417",2006-09-25,"India","Marmat",1,0,"A village leader is kidnapped by Muslim radicals and killed in captivity."
"5418",2006-09-25,"India","Gundana",1,0,"Islamic radicals kill a medical assistant inside his home."
"5419",2006-09-25,"India","Jwari",2,0,"A woman is among two people brutally slain by the Mujahideen in their village."
"5420",2006-09-25,"Somalia","Kismayo",1,2,"A 13-year-old boy is gunned down by Islamists for taking part in a protest against their seizure of his city."
"5421",2006-09-25,"Afghanistan","Kandahar",1,0,"A woman's rights campaigner is shot to death by the Taliban."
"5422",2006-09-25,"Iraq","Jurf al-Sakhar",5,10,"Muslim radicals target a police station with mortar fire, killing five officers."
"5423",2006-09-25,"Iraq","Baiji",10,0,"The body of one of nine severed heads found two days earlier surfaces.  An intact body is found elsewhere."
"5424",2006-09-25,"Russia","Kislovodsk",1,0,"The Jamaat terrorist group claims responsibility for the Ramadan shooting of an imam."
"5425",2006-09-26,"Iraq","Mahmudiya",12,0,"Twelve victims of sectarian violence within the Religion of Peace are found bound, tortured and executed."
"5426",2006-09-26,"Iraq","Baghdad",40,34,"A series of bomb blasts and other Jihad attacks leave at least forty dead and dozens more in agony."
"5427",2006-09-26,"Afghanistan","Lashkar Gah",18,17,"A Fedayeen suicide bomber blows himself to Allah, taking eighteen innocent souls with him, including Muslim pilgrims."
"5428",2006-09-26,"Afghanistan","Kabul",2,9,"Religious extremists kill an Afghan child and an Italian solider in a remote-controlled bomb attack."
"5429",2006-09-26,"Iraq","Baghdad",44,0,"Thirty-five victims of sectarian violence are found within the city and nine more in a river downstream."
"5430",2006-09-26,"Iraq","Baghdad",10,11,"A shooting attack on a mosque by Islamic terrorists leaves ten people dead."
"5431",2006-09-26,"India","Kashmir",2,15,"Two police personnel are killed in separate Mujahideen attacks."
"5432",2006-09-27,"Iraq","Baghdad",16,25,"A Fedayeen suicide bomber kills at least two other people.  Fourteen other bodies are found elsewhere."
"5433",2006-09-27,"Iraq","Baghdad",8,42,"Two separate Jihad attacks leave at least eight dead and over forty injured."
"5434",2006-09-27,"Thailand","Pattani",1,0,"A Buddhist is murdered by Muslim extremists as he is riding a bus."
"5435",2006-09-27,"Thailand","Yala",3,0,"Muslim teens shoot three Buddhists to death as they are shopping at a grocery."
"5436",2006-09-27,"Iraq","Baghdad",7,11,"A woman gunned down on her way to work is among those killed in three attacks by radical Sunnis."
"5437",2006-09-27,"Thailand","Yala",1,1,"Islamists shoot a civilian in an ambush that also injures his 6-year-old son."
"5438",2006-09-27,"Thailand","Narathiwat",1,2,"Muslim terrorists open fire on a grocery, killing one civilian."
"5439",2006-09-27,"India","Srinagar",2,0,"Two cops are gunned down by the Mujahideen in separate attacks."
"5440",2006-09-27,"India","Maisuma",1,14,"A Muslim terrorist lobs a grenade into a city street, killing a police officer."
"5441",2006-09-28,"India","Kulgam",1,0,"A civilian succumbs to injuries suffered from an earlier terror attack."
"5442",2006-09-28,"India","Diwar",1,0,"A woman is killed inside her home by the Mujahideen two years after her husband was murdered in similar fashion."
"5443",2006-09-28,"Pakistan","Khadi",1,0,"An Afghan refugee is murdered by the Taliban."
"5444",2006-09-28,"Thailand","Pattani",1,0,"A man is shot in the head by Islamists after dropping his kids off at school."
"5445",2006-09-28,"Thailand","Sai Buri",1,0,"A 35-year-old man is gunned down by Muslim militants in his pick-up truck."
"5446",2006-09-29,"Algeria","Ouled Boudekhane",2,0,"Islamists murder two men outside a mosque."
"5447",2006-09-29,"Iraq","Kirkuk",3,0,"Two brothers are among three people murdered in their car by Islamic radicals."
"5448",2006-09-29,"India","Dessa",1,0,"A civilian is abducted and killed in captivity by the Mujahideen."
"5449",2006-09-30,"Pakistan","Bahawlnagar",1,0,"A Christian is killed by authorities who arrest and imprison him for 'blaspheming' Islam."
"5450",2006-09-30,"Iraq","Tal Afar",2,30,"A suicide bomber murders two people."
"5451",2006-09-30,"Iraq","Baqubah",8,0,"A father and two sons are among eight brutally murdered by Islamic terrorists."
"5452",2006-09-30,"Afghanistan","Kabul",12,40,"At least a dozen people are blown to bits by a Fedayeen suicide bomber."
"5453",2006-10-01,"Ethiopia","Jimma",10,12,"Ten people are killed, more than a dozen injured, and at least two churches burned down as Muslims attempt to ban a Christian ceremony."
"5454",2006-10-01,"Iraq","Baghdad",50,0,"Fifty victims of sectarian hatred within the Religion of Peace are found by police over a 24-hour period."
"5455",2006-10-01,"Afghanistan","Gereshk",2,2,"The Taliban kill two policemen from the back of a motorcycle."
"5456",2006-10-01,"Afghanistan","Musa Qala",5,0,"Five civilians are killed in a Taliban landmine attack on their vehicle."
"5457",2006-10-01,"Thailand","Yala",1,1,"Muslim militants gun down a police officer and injure his 4-year-old daughter."
"5458",2006-10-01,"Pakistan","Sibi",1,0,"A 12-year-old boy is killed in a landmine blast."
"5459",2006-10-01,"India","Gool",1,0,"The body of a 60-year-old man, abducted and murdered by the Mujahideen, is found."
"5460",2006-10-01,"Indonesia","Poso",0,1,"A Christian man is pulled off a bus and stabbed by a Muslim mob."
"5461",2006-10-01,"Iraq","Suwayra",9,0,"A schoolgirl is among nine people kidnapped and shot in the head and chest in two locations (Mahmudiya)."
"5462",2006-10-01,"Iraq","Fallujah",4,6,"Four civilians are killed when Muslim terrorists detonate a bomb at a vegetable market."
"5463",2006-10-02,"Pal. Auth.","Rafah",2,15,"A sectarian clash leaves two people dead."
"5464",2006-10-02,"Thailand","Pattani",2,0,"Two people are murdered by Islamic radicals in separate attacks."
"5465",2006-10-02,"Iraq","Ishaqi",3,0,"Three men are gunned down by suspected Islamic fundamentalists."
"5466",2006-10-02,"Iraq","Baghdad",5,10,"Two Jihad bombings net five dead bodies."
"5467",2006-10-02,"Iraq","Suwayra",11,0,"Seven people are kidnapped and beheaded by Muslim extremists.  Four others are killed in a separate attack."
"5468",2006-10-02,"Afghanistan","Kabul",3,3,"A religious extremist blows himself up, killing three people."
"5469",2006-10-02,"Pakistan","Latrey",2,7,"Two people are killed in sectarian violence involving a religious shrine."
"5470",2006-10-02,"Thailand","Songkhla",1,0,"A village headsman is ambushed and killed while driving his truck."
"5471",2006-10-02,"Thailand","Narathiwat",1,0,"A woman is shot to death by Islamic radicals while on a shopping trip."
"5472",2006-10-03,"Iraq","Baqubah",16,0,"Seven members of the same family, including a father and three sons, are among sixteen murdered by Islamic terrorists."
"5473",2006-10-03,"Iraq","Sadiyah",2,19,"A Fedayeen suicide bomber targets a fish market, sending two people to Allah."
"5474",2006-10-03,"Afghanistan","Kandahar",2,5,"Two Canadians on a road construction project are murdered by Taliban extremists."
"5475",2006-10-03,"Iraq","Rashad",2,0,"Two civilians are abducted and horribly tortured by Islamic terrorists, then killed."
"5476",2006-10-03,"Iraq","Kut",2,0,"Islamists behead one woman and burn another to death."
"5477",2006-10-03,"Iraq","Gatoun",4,0,"Four members of a family are murdered by sectarian rivals."
"5478",2006-10-03,"Pakistan","Ali Khan Brohi",1,0,"A woman is tortured to death by her husband and in-laws for opposing his plans to take a second wife."
"5479",2006-10-04,"Iraq","Mosul",2,0,"Two Turkish truck drivers are brutally murdered by Sunni extremists."
"5480",2006-10-04,"Philippines","Cotabato",1,0,"A local official is gunned down by Muslim radicals while sitting in his car."
"5481",2006-10-04,"Iraq","Baghdad",16,87,"Jihadis bomb a Christian district, killing sixteen innocents and injuring many dozens more."
"5482",2006-10-04,"India","Lal Chowk",1,6,"Muslim militants storm a building housing Hindu relics, killing at least one security guard."
"5483",2006-10-04,"Dagestan","Maka-Kazmalyar",1,3,"Muslim terrorists kill a policeman and wound three others on a highway."
"5484",2006-10-04,"Sudan","Kalama",2,1,"Arab militias attack a DP camp, killing two civilians."
"5485",2006-10-04,"India","Srinagar",8,30,"Eight people are killed when Al Mansoorian militants stage a Fedayeen attack on a government building."
"5486",2006-10-05,"Iraq","Ukashat",5,0,"Five people are kidnapped and tortured to death by Muslim terrorists."
"5487",2006-10-05,"Iraq","Baghdad",32,28,"A car bombing adds two additional bodies to thirty more racked up the Religion of Peace in sectarian violence."
"5488",2006-10-05,"Iraq","Zaafaraniya",5,6,"Islamic radicals open fire on a cafe, killing five innocents."
"5489",2006-10-05,"Pakistan","Kalaya",8,3,"Eight more people are killed as Sunnis and Shias clash over ownership of a shrine."
"5490",2006-10-05,"Iraq","Al-Samawa",4,0,"'Holy Warriors' burst into a house and slaughter three woman and a 3-year-old girl, who has her throat slit."
"5491",2006-10-05,"Algeria","Bouira",8,0,"Eight members of a security patrol are killed by Islamic fundamentalists."
"5492",2006-10-06,"Iraq","Baghdad",7,0,"Seven people are kidnapped and brutally murdered by sectarian death squads."
"5493",2006-10-06,"Afghanistan","Khost",1,3,"A suicide bomber kills a policeman."
"5494",2006-10-06,"Iraq","Mosul",1,0,"Radical Sunnis gun down a mother walking with her 5-year-old son."
"5495",2006-10-06,"India","Srinagar",1,6,"A civilian is killed when a militant Muslim throws a grenade into a bus stop."
"5496",2006-10-06,"Pakistan","Kalay",5,0,"Five Sunni family members are killed in a retaliatory mortar strike by Shias for the earlier event."
"5497",2006-10-06,"Pakistan","Kalay",14,8,"Sunnis mortar a Shia gathering, killing fourteen people."
"5498",2006-10-07,"Iraq","Iskandariya",2,4,"Two members of a family are killed in their sleep by a Jihad mortar attack on their home."
"5499",2006-10-07,"Iraq","Sinjar",2,2,"Two religious minorities are gunned down by Islamists."
"5500",2006-10-07,"Iraq","Baghdad",7,0,"Two innocent workers at a bakery are among seven people killed by religious extremists."
"5501",2006-10-07,"Iraq","Tal Afar",14,13,"A suicide truck bomber at a checkpoint blows fourteen other people to Allah."
"5502",2006-10-07,"Afghanistan","Baghlan",2,0,"Two German journalists, one of whom was a woman, are murdered in the countryside."
"5503",2006-10-07,"Pakistan","Tank",1,0,"A Shia tribal leader is murdered by terrorists."
"5504",2006-10-07,"India","Vesu Achhabal",1,0,"A civilian is kidnapped and killed by the Mujahideen."
"5505",2006-10-07,"India","Ramban",1,2,"A Muslim tosses a grenade at a police patrol on a city street, killing one officer."
"5506",2006-10-07,"India","Shalapora",1,0,"An off-duty soldier is kidnapped by the Mujahideen, who behead him and scatter the body parts."
"5507",2006-10-07,"Thailand","Songkhla",2,0,"A Buddhist man and his son are shot to death by Islamists."
"5508",2006-10-07,"Iraq","Baaj",3,0,"Three innocent workers are gunned down by Sunni terrorists."
"5509",2006-10-07,"Iraq","Samarra",2,0,"The 8-year-old son of a policeman is gunned down along with his father by terrorists."
"5510",2006-10-07,"Iraq","Baghdad",51,0,"Fifty-one people are killed in sectarian violence within the Religion of Peace across the city."
"5511",2006-10-07,"Thailand","Pattani",1,0,"Muslims murder a policeman as he travels to work."
"5512",2006-10-08,"Iraq","Baghdad",1,0,"A 14-year-old boy is crucified by Islamic radicals in a heinous attack."
"5513",2006-10-08,"India","Sopore",1,0,"A dental surgeon is abducted and tortured for two hours before Islamic militants slit his throat."
"5514",2006-10-08,"Thailand","Pattani",1,0,"A rubber tapper is shot to death by Islamists."
"5515",2006-10-08,"Thailand","Narathiwat",1,0,"A 65-year-old Buddhist is murdered by Muslims while walking home."
"5516",2006-10-08,"Thailand","Yala",1,0,"Radical Muslims shoot a man four times in front of his house."
"5517",2006-10-08,"Iraq","Baqubah",10,0,"Four civilians are murdered by Islamic radicals.  Six bodies are found elsewhere."
"5518",2006-10-08,"Iraq","Haditha",5,0,"Five civilians are gunned down by Jihadi gunmen."
"5519",2006-10-09,"Afghanistan","Khogyani",3,2,"Three men are murdered by Islamic extremists as they are traveling to investigate a school burning."
"5520",2006-10-09,"Iraq","Baghdad",13,46,"Islamic terrorists kill thirteen civilians rushing home for Ramadan in a heinous bomb attack."
"5521",2006-10-09,"Iraq","Baghdad",53,0,"Police report finding fifty-three victims of sectarian violence within the Religion of Peace over the last 24 hours."
"5522",2006-10-09,"Iraq","Tal Afar",1,11,"A suicide bomber kills one other person."
"5523",2006-10-09,"India","Bandipora",1,0,"A man is kidnapped and brutally murdered by the Mujahideen."
"5524",2006-10-09,"Thailand","Narathiwat",2,1,"A married couple are murdered by Muslim extremists."
"5525",2006-10-10,"Philippines","Tacurong City",2,8,"Islamists set off a bomb in a crowded market at noon, killing two shoppers."
"5526",2006-10-10,"Philippines","Makilala",6,29,"A bomb blast at a festival by Islamic militants leaves six dead and twenty-nine wounded."
"5527",2006-10-10,"Iraq","Fallujah",4,0,"Radical Sunnis kidnap and torture four civilians to death."
"5528",2006-10-10,"Iraq","Baghdad",60,22,"Sixty victims of sectarian hatred within the Religion of Peace are found over a 24 hour period.  Twenty-two others are injured."
"5529",2006-10-10,"Afghanistan","Kabul",0,11,"Eleven people are injured when religious extremists place a bicycle bomb next to a bus stop."
"5530",2006-10-10,"Iraq","Mosul",7,0,"Seven bodies are found here, and four others in Tal Afar, showing signs of torture at the hands of religious militants."
"5531",2006-10-10,"Iraq","Baqubah",12,0,"A dozen people are gunned down by Muslim terrorists."
"5532",2006-10-10,"Iraq","Baghdad",10,4,"Islamic fundamentalists bomb a bakery, killing ten innocents."
"5533",2006-10-10,"Afghanistan","Khushmand",3,0,"The Taliban execute three civilians."
"5534",2006-10-11,"Iraq","Baghdad",4,2,"Islamic gunmen murder four members of a family in their home."
"5535",2006-10-11,"Iraq","Baghdad",1,0,"A Christian priest is abducted and decapitated by Muslim extremists.  The head is not found with the body."
"5536",2006-10-11,"Iraq","Baghdad",7,13,"Two civilians are killed when Islamic terrorists trigger a car bomb along a city street.  Five laborers are killed in a separate bombing."
"5537",2006-10-11,"Iraq","Kut",6,0,"A peasant woman is among six people killed by Jihadis in separate attacks."
"5538",2006-10-11,"Philippines","Patikul",2,8,"Abu Sayyaf terrorists kill two government soldiers."
"5539",2006-10-11,"Pakistan","Mir Ali",1,0,"An Afghan refugee is murdered by Islamic fundamentalists."
"5540",2006-10-11,"Pakistan","Saobi",1,0,"A doctor is killed by religious extremists."
"5541",2006-10-11,"Thailand","Pattani",1,0,"A man is gunned down in a drive-by shooting by Islamists."
"5542",2006-10-12,"Thailand","Narathiwat",1,0,"Muslim radicals kill a 26-year-old Buddhist in his home."
"5543",2006-10-12,"Thailand","Yala",1,0,"A Buddhist factory worker is shot to death by Muslims."
"5544",2006-10-12,"Afghanistan","Kabul",1,19,"Two suicide attacks and an ambush at Uruzgan by the Taliban leave at least one person dead."
"5545",2006-10-12,"Iraq","Baqubah",12,0,"Twelve people are gunned down by Jihadis."
"5546",2006-10-12,"Iraq","Baghdad",19,25,"Eleven employees of a television station are brutally slaughtered, some in their sleep.  Two other bombings kill another eight."
"5547",2006-10-12,"India","Srinagar",3,8,"Three policemen are killed in a brutal assault by Islamic terrorists in the heart of the city."
"5548",2006-10-13,"Afghanistan","Kandahar",9,5,"Eight civilians are among nine killed by a Fedayeen suicide bomber."
"5549",2006-10-13,"Thailand","Narathiwat",1,0,"A middle-aged Buddhist man is shot and killed by Muslim militants as he is walking home."
"5550",2006-10-13,"Iraq","Suwayra",8,2,"Six women and two children are slaughtered by Muslim gunmen in a field."
"5551",2006-10-13,"Thailand","Pattani",1,0,"A man is kidnapped and beheaded in front of his 13-year-old daughter by Islamic radicals."
"5552",2006-10-13,"Iraq","Duluiya",17,0,"Seventeen Shiite laborers are decapitated in an orchard by their Sunni brothers."
"5553",2006-10-13,"Algeria","Kabylie",1,0,"The Salafist Group for Preaching and Combat guns down a man in a cafe."
"5554",2006-10-13,"Iraq","Hilla",8,10,"Eight people lose their lives to a Muslim bomber."
"5555",2006-10-13,"Thailand","Narathiwat",1,0,"Two Muslims walk into a noodle shop and murder a patron."
"5556",2006-10-14,"Ethiopia","Beshasha",6,15,"A mob of 300 Muslims attack a group of unarmed Christians worshipping at a church, murdering at least six of them - including two priests."
"5557",2006-10-14,"Iraq","Saifiya",10,0,"Ten Shia family members are slaughtered in their home by Sunni radicals."
"5558",2006-10-14,"Thailand","Narathiwat",1,0,"A rubber tapper is murdered by Islamic radicals, who chop his face beyond recognition."
"5559",2006-10-14,"Afghanistan","Kandahar",2,2,"Two Canadians are killed in a Taliban rocket attack on a road construction project."
"5560",2006-10-14,"Iraq","Balad",15,0,"Fifteen Sunnis are killed in revenge for an earlier massacre."
"5561",2006-10-14,"Iraq","Baghdad",25,0,"Twenty-five victims of sectarian violence within the Religion of Peace are found tortured and executed."
"5562",2006-10-15,"Afghanistan","Kandahar",1,2,"A local official is assassinated by religious extremists."
"5563",2006-10-15,"Iraq","Baghdad",4,6,"Four civilians are killed in a Jihad car bombing."
"5564",2006-10-15,"Iraq","Fallujah",4,0,"Four people are kidnapped and tortured to death by Islamic terrorists."
"5565",2006-10-15,"Iraq","Balad",31,0,"Thirty-one Sunnis are killed in retaliation for an earlier massacre against Shias."
"5566",2006-10-15,"Iraq","Kirkuk",10,64,"Three suicide bombings, including one by a man at a girl's high school, leave at least ten innocents dead."
"5567",2006-10-15,"Iraq","Mosul",5,0,"Five members of a family, including three women, are killed in their home by Muslim militants."
"5568",2006-10-15,"Iraq","Latifiya",8,0,"Three women and two children are among eight Shias of a family killed when radical Sunnis invade their home."
"5569",2006-10-15,"Algeria","Ain Defla",8,0,"Islamists from the Salafist Group for Preaching and Combat shoot eight security guards to death."
"5570",2006-10-15,"Thailand","Chanae",1,1,"A 30-year-old man is shot and killed by Islamists as he is riding a motorcycle."
"5571",2006-10-15,"Thailand","Joh I Rong",1,1,"A 21-year-old man is killed by Islamic militants."
"5572",2006-10-15,"Afghanistan","Khost",3,1,"Hundreds of Taliban extremists attack a police post, killing at least three officers."
"5573",2006-10-15,"Afghanistan","Herat",2,1,"Two people are killed when the Taliban explode a bomb along a city street."
"5574",2006-10-15,"India","Srinagar",2,0,"Jaish-e-Mohammed terrorists attack two policemen, killing one.  The second officer succumbs to injury a week later."
"5575",2006-10-16,"Thailand","Narathiwat",2,0,"A husband and wife are murdered by Muslim gunmen as they are traveling home from work."
"5576",2006-10-16,"Thailand","Pattani",1,0,"A 55-year-old man is machine-gunned to death by Islamic radicals."
"5577",2006-10-16,"Thailand","Raman",2,0,"A village leader and colleague are shot to death by Muslim terrorists as they are returning from a shopping trip."
"5578",2006-10-16,"Indonesia","Sulawesi",1,0,"A Christian priest is murdered by Muslim gunmen in front of his wife."
"5579",2006-10-16,"Iraq","Balad",28,0,"Twenty-eight more Sunnis are killed by Shias over a 48-hour period in revenge for an earlier massacre."
"5580",2006-10-16,"Iraq","Baghdad",20,17,"Twenty people at a Shiite funeral are killed by two car bombs.  The second was set to kill those rushing to help."
"5581",2006-10-16,"Thailand","Yala",2,0,"Two men are murdered in separate attacks."
"5582",2006-10-16,"Thailand","Yala",2,0,"A husband and wife rubber-tapping team are brutally gunned down by Islamic militants."
"5583",2006-10-16,"Afghanistan","Kandahar",4,2,"A Fedayeen suicide bomber kills four civilians."
"5584",2006-10-16,"Iraq","Khalis",12,4,"Four people standing at a bus stop are gunned down by Islamic terrorists.  Eight others are killed in two separate attacks."
"5585",2006-10-16,"Iraq","Baghdad",46,0,"Forty-six victims of sectarian violence within the Religion of Peace are found tortured and executed over a 24-hour period."
"5586",2006-10-16,"Iraq","Suwayra",8,48,"Eight civilians standing near a bank are cut down by a Jihad car bomb."
"5587",2006-10-17,"India","Batmaloo",1,0,"A man is gunned down by Islamic militants."
"5588",2006-10-17,"India","Lal Chowk",2,0,"Two policemen are killed in a Mujahideen attack on a market."
"5589",2006-10-17,"Iraq","Balad Ruz",5,1,"Sunnis storm a house and murder a mother and her four sons."
"5590",2006-10-17,"Iraq","Basra",5,0,"Islamic radicals murder four university students and a female doctor."
"5591",2006-10-17,"Thailand","Yala",1,1,"Militant Muslims gun down a guard at a bank."
"5592",2006-10-17,"Iraq","Haditha",4,0,"Four people are kidnapped, tortured and killed by Muslim terrorists."
"5593",2006-10-17,"Iraq","Baghdad",19,0,"Nineteen additional victims of sectarian hatred within the Religion of Peace are found."
"5594",2006-10-17,"Philippines","Basilan",1,1,"Abu Sayyaf militants ambush two off-duty soldiers on their way to a market."
"5595",2006-10-17,"Afghanistan","Spin Boldak",1,0,"Taliban extremists destroy an oil tanker and kill the Pakistani driver."
"5596",2006-10-17,"Eritrea","Adi-Quala",2,0,"Two Christians are arrested and tortured to death for hosting a church meeting."
"5597",2006-10-18,"Thailand","Yala",1,4,"Muslim militants open fire on a checkpoint, killing a Thai soldier."
"5598",2006-10-18,"Thailand","Narathiwat",1,0,"A civilian is shot in the head by Muslim extremists."
"5599",2006-10-19,"Iraq","Baghdad",12,32,"Various attacks by the Religion of Peace claim the lives of a dozen people."
"5600",2006-10-19,"Iraq","Mahmudiya",7,3,"Jihadis murder seven people in two attacks."
"5601",2006-10-19,"Iraq","Mosul",21,26,"A suicide bomber kills eleven innocents at a fueling station.  Ten other people are killed elsewhere."
"5602",2006-10-19,"Afghanistan","Lashkar Gah",3,9,"Two children and a British soldier are blown apart by a Fedayeen suicide bomber."
"5603",2006-10-19,"India","Budhal",1,0,"Terrorists plant a bomb in a field, killing a 12-year-old boy."
"5604",2006-10-19,"Afghanistan","Kunar",8,0,"Eight Afghan employees at a NATO base are stopped in traffic and shot execution-style on their way home."
"5605",2006-10-19,"Iraq","Baghdad",4,8,"Four Palestinians are killed when their Muslim 'brothers' fire rockets into their neighborhood."
"5606",2006-10-19,"Afghanistan","Khost",1,7,"A suicide bomber kills one other person."
"5607",2006-10-19,"Iraq","Khalis",4,4,"In a heinous attack, gunmen murder four laborers."
"5608",2006-10-19,"Iraq","Kirkuk",11,74,"Separate Fedayeen suicide bombers send eleven innocents to Allah."
"5609",2006-10-19,"Iraq","Khalis",10,20,"Sectarian rivals kill ten innocents with a Ramadan bombing of a busy market."
"5610",2006-10-19,"Pakistan","Shakai",2,3,"Islamic militants ambush five Pakistani soldiers, killing two."
"5611",2006-10-20,"Thailand","Narathiwat",2,0,"Two men are gunned down in separate drive-by attacks by Muslim terrorists."
"5612",2006-10-20,"Thailand","Narathiwat",1,0,"A young woman is murdered by Islamic militants."
"5613",2006-10-20,"Thailand","Narathiwat",1,0,"Muslim radicals kill a 37-year-old man in his home."
"5614",2006-10-20,"Thailand","Songkhla",4,13,"Islamists detonate a bomb at a village teashop, killing four civilians.  Two civilians lost both their legs."
"5615",2006-10-20,"Algeria","Timezrit",1,0,"A man is stabbed to death by Islamic fundamentalists at a phony roadblock."
"5616",2006-10-20,"India","Lolab",1,0,"A 7-year-old child is murdered by militant Muslims in a grenade attack."
"5617",2006-10-20,"Iraq","Balad",9,0,"Nine people are killed in Sunni-Shia violence."
"5618",2006-10-20,"Pakistan","Jandola",1,0,"A civilian is murdered by Islamic militants."
"5619",2006-10-20,"Pakistan","Peshawar",7,41,"Terrorists bomb a crowded shopping area, killing at least a half-dozen innocents."
"5620",2006-10-20,"Thailand","Pattani",1,0,"Muslims shoot a 46-year-old man off of his motorcycle."
"5621",2006-10-20,"Philippines","Kabacan",1,2,"Two Moro Islamic Liberation Front terrorists gun down a man in his bed."
"5622",2006-10-21,"Iraq","Baqubah",1,0,"A 14-year-old Christian boy is abducted and beheaded by Muslim extremists."
"5623",2006-10-21,"Philippines","Barangay Banawag",1,0,"Islamic militants are suspected in the murder of a farmer."
"5624",2006-10-21,"Iraq","Mahmoudiyah",19,52,"Jihadis massacre nineteen people at a crowded market with mortars and a bomb."
"5625",2006-10-21,"Afghanistan","Ismailkhel",1,0,"An Afghan official is killed in a remote-controlled Taliban bomb."
"5626",2006-10-21,"Thailand","Narathiwat",1,0,"A Buddhist man is slaughtered by Muslim extremists."
"5627",2006-10-21,"Iraq","Baghdad",7,15,"A religious extremist blows himself up in a minivan, killing at least seven others."
"5628",2006-10-21,"India","Kishtwar",1,1,"A young boy is killed by the Mujahideen in a mine attack."
"5629",2006-10-21,"Thailand","Pattani",1,1,"A couple riding a motorcycle are shot by Muslim radicals.  The man dies on the scene."
"5630",2006-10-22,"Pakistan","Bahawalpur",1,0,"Radical Sunnis gun down a Shia cleric."
"5631",2006-10-22,"Thailand","Pattani",1,0,"A man is murdered by Muslim militants while walking home."
"5632",2006-10-22,"Iraq","Baghdad",50,0,"Fifty victims of sectarian hatred within the Religion of Peace are found over a 24-hour period."
"5633",2006-10-22,"Iraq","Baqubah",13,25,"Thirteen police recruits are murdered by a Jihadi bombing and shooting attack on their bus."
"5634",2006-10-22,"Thailand","Narathiwat",1,12,"A column of Buddhist monks, on their way to receive alms for the poor, is bombed by Muslim militants."
"5635",2006-10-22,"Iraq","Madaen",9,3,"Nine people are killed in a Religion of Peace sectarian clash."
"5636",2006-10-22,"Iraq","Baghdad",5,6,"Muslim terrorists bomb a street market, killing five innocents."
"5637",2006-10-22,"Iraq","Yarmuk",2,0,"Two street cleaners are murdered by Islamic terrorists."
"5638",2006-10-22,"Iraq","Amil",1,0,"Religious fundamentalists murder a barber."
"5639",2006-10-22,"India","Muzaffarnagar",1,12,"A young Hindu is killed, and more than a dozen others injured, when Muslims object to a Diwali celebration."
"5640",2006-10-23,"Philippines","Zamboanga",2,0,"Islamic militants suspected in a shooting attack that leaves a cop and a civilian dead."
